url,month,year,mmyy,filename,downloaded,download_time
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2024,2024-07-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-07-31.pdf,True,"2024-10-16, Wednesday, 23:03:09"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2024,2024-08-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-08-31.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2024,2024-08-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-08-31.pdf,True,"2024-10-16, Wednesday, 23:03:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202024%20%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2024,2024-09-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-09-30.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2024,2024-09-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-09-30.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2024,2024-10-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-10-31.pdf,True,"2025-01-12, Sunday, 14:01:32"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/NOVEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,NOVEMBER,2024,2024-11-30,/Users/tiangeng/Documents/python_files/niv/niv_2024-11-30.pdf,True,"2025-03-13, Thursday, 20:56:27"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/DECEMBER%202024%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,DECEMBER,2024,2024-12-31,/Users/tiangeng/Documents/python_files/niv/niv_2024-12-31.pdf,True,"2025-03-13, Thursday, 20:56:28"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2025,2025-01-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-01-31.pdf,True,"2025-03-13, Thursday, 20:56:25"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2025,2025-02-28,/Users/tiangeng/Documents/python_files/niv/niv_2025-02-28.pdf,True,"2025-04-08, Tuesday, 15:37:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2025,2025-03-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-03-31.pdf,True,"2025-07-03, Thursday, 11:50:07"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2025,2025-04-30,/Users/tiangeng/Documents/python_files/niv/niv_2025-04-30.pdf,True,"2025-07-03, Thursday, 11:50:01"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202025%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2025,2025-05-31,/Users/tiangeng/Documents/python_files/niv/niv_2025-05-31.pdf,True,"2025-07-03, Thursday, 11:49:47"
